Id,quality
2451,5
2452,7
2453,6
2454,6
2455,6
2456,5
2457,7
2458,7
2459,6
2460,5
2461,6
2462,7
2463,5
2464,5
2465,8
2466,5
2467,7
2468,5
2469,8
2470,5
2471,7
2472,5
2473,5
2474,5
2475,5
2476,6
2477,5
2478,5
2479,6
2480,6
2481,7
2482,5
2483,5
2484,6
2485,6
2486,6
2487,7
2488,6
2489,5
2490,4
2491,7
2492,5
2493,5
2494,7
2495,6
2496,5
2497,7
2498,8
2499,8
2500,6
2501,5
2502,5
2503,6
2504,6
2505,5
2506,5
2507,6
2508,6
2509,5
2510,6
2511,5
2512,5
2513,5
2514,7
2515,6
2516,6
2517,6
2518,5
2519,7
2520,7
2521,8
2522,5
2523,6
2524,6
2525,6
2526,7
2527,7
2528,6
2529,6
2530,7
2531,5
2532,5
2533,6
2534,5
2535,5
2536,7
2537,6
2538,7
2539,5
2540,5
2541,5
2542,6
2543,5
2544,6
2545,5
2546,5
2547,8
2548,6
2549,6
2550,6
2551,5
2552,4
2553,5
2554,6
2555,6
2556,5
2557,5
2558,6
2559,6
2560,7
2561,6
2562,5
2563,7
2564,5
2565,6
2566,5
2567,7
2568,6
2569,5
2570,5
2571,7
2572,5
2573,7
2574,7
2575,5
2576,6
2577,5
2578,6
2579,5
2580,6
2581,5
2582,7
2583,7
2584,6
2585,6
2586,5
2587,5
2588,6
2589,5
2590,5
2591,7
2592,7
2593,7
2594,7
2595,5
2596,6
2597,6
2598,5
2599,5
2600,6
2601,5
2602,6
2603,6
2604,6
2605,6
2606,5
2607,5
2608,6
2609,5
2610,5
2611,5
2612,5
2613,5
2614,5
2615,5
2616,7
2617,6
2618,4
2619,6
2620,6
2621,7
2622,6
2623,5
2624,5
2625,5
2626,4
2627,7
2628,5
2629,7
2630,5
2631,6
2632,6
2633,5
2634,6
2635,6
2636,5
2637,6
2638,5
2639,6
2640,5
2641,5
2642,5
2643,5
2644,5
2645,5
2646,6
2647,6
2648,5
2649,6
2650,4
2651,6
2652,5
2653,5
2654,7
2655,6
2656,5
2657,6
2658,5
2659,5
2660,6
2661,4
2662,7
2663,6
2664,7
2665,8
2666,6
2667,6
2668,6
2669,5
2670,6
2671,6
2672,5
2673,6
2674,6
2675,7
2676,6
2677,7
2678,5
2679,6
2680,5
2681,6
2682,6
2683,5
2684,7
2685,5
2686,5
2687,5
2688,5
2689,6
2690,5
2691,6
2692,5
2693,5
2694,6
2695,6
2696,5
2697,6
2698,5
2699,5
2700,5
2701,5
2702,5
2703,5
2704,6
2705,6
2706,6
2707,6
2708,5
2709,6
2710,6
2711,6
2712,6
2713,4
2714,7
2715,7
2716,7
2717,6
2718,5
2719,6
2720,5
2721,3
2722,6
2723,6
2724,6
2725,7
2726,5
2727,6
2728,7
2729,5
2730,7
2731,7
2732,7
2733,5
2734,5
2735,6
2736,6
2737,5
2738,7
2739,7
2740,5
2741,5
2742,5
2743,6
2744,5
2745,6
2746,7
2747,4
2748,6
2749,7
2750,5
2751,4
2752,6
2753,7
2754,6
2755,6
2756,6
2757,5
2758,5
2759,6
2760,5
2761,5
2762,5
2763,5
2764,5
2765,7
2766,6
2767,5
2768,5
2769,6
2770,5
2771,5
2772,6
2773,6
2774,5
2775,5
2776,5
2777,6
2778,5
2779,5
2780,6
2781,6
2782,6
2783,5
2784,6
2785,4
2786,7
2787,6
2788,6
2789,5
2790,7
2791,6
2792,5
2793,6
2794,6
2795,5
2796,6
2797,5
2798,5
2799,7
2800,6
2801,7
2802,5
2803,5
2804,6
2805,5
2806,5
2807,6
2808,7
2809,6
2810,7
2811,5
2812,7
2813,6
2814,7
2815,5
2816,6
2817,5
2818,5
2819,6
2820,7
2821,5
2822,6
2823,5
2824,6
2825,6
2826,5
2827,6
2828,7
2829,6
2830,7
2831,7
2832,5
2833,6
2834,6
2835,6
2836,5
2837,7
2838,6
2839,6
2840,6
2841,7
2842,7
2843,5
2844,7
2845,6
2846,5
2847,7
2848,7
2849,7
2850,6
2851,5
2852,6
2853,5
2854,5
2855,5
2856,7
2857,5
2858,7
2859,5
2860,7
2861,5
2862,6
2863,5
2864,6
2865,6
2866,5
2867,6
2868,5
2869,6
2870,5
2871,6
2872,6
2873,5
2874,4
2875,6
2876,6
2877,7
2878,6
2879,6
2880,7
2881,5
2882,5
2883,5
2884,8
2885,8
2886,7
2887,5
2888,5
2889,7
2890,5
2891,5
2892,7
2893,6
2894,6
2895,7
2896,6
2897,6
2898,7
2899,5
2900,7
2901,4
2902,5
2903,5
2904,4
2905,5
2906,5
2907,5
2908,7
2909,7
2910,7
2911,7
2912,5
2913,6
2914,3
2915,6
2916,7
2917,7
2918,5
2919,6
2920,6
2921,5
2922,6
2923,6
2924,6
2925,6
2926,6
2927,6
2928,5
2929,5
2930,6
2931,5
2932,7
2933,7
2934,6
2935,5
2936,6
2937,5
2938,5
2939,5
2940,5
2941,7
2942,7
2943,5
2944,5
2945,4
2946,6
2947,5
2948,8
2949,7
2950,5
2951,8
2952,6
2953,6
2954,8
2955,7
2956,7
2957,7
2958,5
2959,5
2960,6
2961,6
2962,6
2963,5
2964,5
2965,7
2966,7
2967,5
2968,6
2969,7
2970,5
2971,5
2972,5
2973,7
2974,6
2975,6
2976,6
2977,5
2978,6
2979,7
2980,6
2981,7
2982,6
2983,8
2984,5
2985,5
2986,5
2987,7
2988,5
2989,5
2990,5
2991,6
2992,5
2993,5
2994,7
2995,7
2996,5
2997,4
2998,6
2999,5
3000,7
3001,8
3002,5
3003,6
3004,8
3005,5
3006,7
3007,6
3008,6
3009,6
3010,5
3011,8
3012,6
3013,7
3014,7
3015,7
3016,6
3017,5
3018,5
3019,5
3020,5
3021,7
3022,7
3023,5
3024,5
3025,5
3026,6
3027,6
3028,5
3029,6
3030,7
3031,5
3032,5
3033,7
3034,7
3035,6
3036,7
3037,7
3038,6
3039,7
3040,7
3041,6
3042,6
3043,5
3044,5
3045,6
3046,7
3047,5
3048,7
3049,5
3050,7
3051,7
3052,6
3053,6
3054,6
3055,6
3056,5
3057,6
3058,7
3059,7
3060,5
3061,6
3062,6
3063,6
3064,6
3065,6
3066,5
3067,5
3068,6
3069,7
3070,5
3071,5
3072,6
3073,7
3074,6
3075,6
3076,7
3077,7
3078,6
3079,6
3080,6
3081,6
3082,5
3083,6
3084,7
3085,6
3086,7
3087,5
3088,6
3089,5
3090,6
3091,7
3092,7
3093,7
3094,6
3095,5
3096,6
3097,5
3098,6
3099,6
3100,5
3101,6
3102,4
3103,5
3104,5
3105,6
3106,6
3107,6
3108,6
3109,7
3110,5
3111,5
3112,6
3113,6
3114,7
3115,6
3116,5
3117,6
3118,5
3119,6
3120,6
3121,5
3122,5
3123,5
3124,7
3125,6
3126,6
3127,5
3128,7
3129,7
3130,5
3131,7
3132,5
3133,5
3134,6
3135,5
3136,5
3137,7
3138,6
3139,7
3140,6
3141,6
3142,6
3143,7
3144,6
3145,5
3146,5
3147,5
3148,6
3149,7
3150,5
3151,7
3152,6
3153,6
3154,6
3155,6
3156,5
3157,5
3158,5
3159,5
3160,5
3161,5
3162,7
3163,5
3164,5
3165,7
3166,6
3167,6
3168,5
3169,7
3170,6
3171,8
3172,5
3173,6
3174,6
3175,7
3176,5
3177,5
3178,6
3179,6
3180,5
3181,7
3182,6
3183,5
3184,5
3185,6
3186,6
3187,7
3188,5
3189,6
3190,6
3191,6
3192,7
3193,5
3194,6
3195,4
3196,6
3197,5
3198,4
3199,7
3200,5
3201,4
3202,5
3203,7
3204,6
3205,5
3206,6
3207,7
3208,5
3209,6
3210,7
3211,5
3212,5
3213,7
3214,6
3215,7
3216,7
3217,6
3218,7
3219,6
3220,5
3221,6
3222,7
3223,6
3224,5
3225,6
3226,7
3227,7
3228,7
3229,7
3230,6
3231,5
3232,6
3233,7
3234,5
3235,5
3236,7
3237,5
3238,5
3239,7
3240,4
3241,6
3242,5
3243,3
3244,8
3245,7
3246,7
3247,5
3248,6
3249,6
3250,5
3251,5
3252,5
3253,6
3254,7
3255,7
3256,6
3257,6
3258,5
3259,6
3260,6
3261,5
3262,5
3263,7
3264,4
3265,5
3266,6
3267,6
3268,4
3269,6
3270,6
3271,6
3272,8
3273,5
3274,6
3275,7
3276,5
3277,7
3278,7
3279,7
3280,7
3281,5
3282,7
3283,7
3284,7
3285,7
3286,4
3287,5
3288,6
3289,6
3290,6
3291,7
3292,5
3293,6
3294,6
3295,7
3296,5
3297,7
3298,6
3299,5
3300,6
3301,6
3302,6
3303,5
3304,5
3305,5
3306,8
3307,6
3308,5
3309,8
3310,7
3311,5
3312,7
3313,5
3314,5
3315,6
3316,5
3317,6
3318,6
3319,6
3320,6
3321,6
3322,6
3323,5
3324,5
3325,6
3326,7
3327,5
3328,6
3329,7
3330,6
3331,6
3332,6
3333,5
3334,7
3335,6
3336,5
3337,5
3338,6
3339,5
3340,6
3341,5
3342,5
3343,6
3344,5
3345,5
3346,6
3347,6
3348,6
3349,6
3350,6
3351,6
3352,7
3353,7
3354,5
3355,5
3356,7
3357,6
3358,5
3359,7
3360,7
3361,6
3362,6
3363,7
3364,6
3365,6
3366,6
3367,5
3368,7
3369,5
3370,6
3371,6
3372,5
3373,5
3374,4
3375,5
3376,6
3377,5
3378,6
3379,7
3380,5
3381,5
3382,6
3383,5
3384,5
3385,4
3386,5
3387,5
3388,5
3389,7
3390,7
3391,6
3392,6
3393,6
3394,5
3395,7
3396,5
3397,5
3398,7
3399,6
3400,5
3401,5
3402,7
3403,7
3404,5
3405,6
3406,6
3407,5
3408,5
3409,6
3410,5
3411,4
3412,5
3413,5
3414,5
3415,6
3416,7
3417,6
3418,6
3419,5
3420,5
3421,7
3422,7
3423,6
3424,7
3425,5
3426,5
3427,5
